det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                       0*deg 0*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                         id manual 61300 
          Vertex_3_9  |                root  |                    Vertex_3_9  |    -3.53502166317593*cm -6.12278709746443*cm 5*cm  |       0*deg 0*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50309 
         Vertex_3_10  |                root  |                   Vertex_3_10  |-2.81413197616041e-05*cm -7.06999999994399*cm 5*cm  |       0*deg 0*rad -173.007735158364*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50310 
         Vertex_3_11  |                root  |                   Vertex_3_11  |     3.53497292096787*cm -6.12281523876263*cm 5*cm  |       0*deg 0*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50311 
         Vertex_3_12  |                root  |                   Vertex_3_12  |     6.12278240721034*cm -3.53502978685549*cm 5*cm  |       0*deg 0*rad -233.009454082445*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50312 
          Vertex_4_1  |                root  |                    Vertex_4_1  |                                 9.07*cm 0*cm 5*cm  |                      0*deg 0*rad 97*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50401 
          Vertex_4_2  |                root  |                    Vertex_4_2  |      8.52301298516795*cm 3.10212018701059*cm 5*cm  |        0*deg 0*rad 76.9994270253064*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50402 
          Vertex_4_3  |                root  |                    Vertex_4_3  |      6.94802653701023*cm 5.83007952269964*cm 5*cm  |        0*deg 0*rad 56.9988540506128*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50403 
          Vertex_4_4  |                root  |                    Vertex_4_4  |      4.53500694784852*cm 7.85484640097855*cm 5*cm  |        0*deg 0*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50404 
          Vertex_4_5  |                root  |                    Vertex_4_5  |      1.57499950584308*cm 8.93220446231467*cm 5*cm  |        0*deg 0*rad 16.9977081012255*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50405 
          Vertex_4_6  |                root  |                    Vertex_4_6  |     -1.57497580343095*cm 8.93220864168583*cm 5*cm  |       0*deg 0*rad -3.00286487346808*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50406 
          Vertex_4_7  |                root  |                    Vertex_4_7  |     -4.53498610429231*cm 7.85485843499904*cm 5*cm  |       0*deg 0*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50407 
          Vertex_4_8  |                root  |                    Vertex_4_8  |     -6.94801106634625*cm 5.83009795989141*cm 5*cm  |       0*deg 0*rad -43.0040108228553*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50408 
          Vertex_4_9  |                root  |                    Vertex_4_9  |     -8.52300475338347*cm 3.10214280357993*cm 5*cm  |       0*deg 0*rad -63.0045837975489*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50409 
         Vertex_4_10  |                root  |                   Vertex_4_10  | -9.06999999996807*cm 2.40680594257093e-05*cm 5*cm  |       0*deg 0*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 24*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50410 
